snr_dB,p_fa,p_md
10.0,3.2397426295281954e-6,0.9111434040411563
10.0,3.277294849923382e-6,0.9107494171280796
10.0,3.3152823423194233e-6,0.9103539342752387
10.0,3.3537101520029288e-6,0.9099569513347883
10.0,3.392583382740992e-6,0.9095584641590364
10.0,3.4319071974590426e-6,0.9091584685983097
10.0,3.4716868189265596e-6,0.9087569604989967
10.0,3.5119275304507277e-6,0.9083539357084126
10.0,3.5526346765781395e-6,0.9079493900718285
10.0,3.5938136638046257e-6,0.9075433194319027
10.0,3.6354699612933177e-6,0.9071357196303866
10.0,3.6776091016010305e-6,0.9067265865087636
10.0,3.7202366814130657e-6,0.9063159159057456
10.0,3.763358362286533e-6,0.9059037036591999
10.0,3.806979871402284e-6,0.9054899456059746
10.0,3.851107002325569e-6,0.9050746375838994
10.0,3.895745615775501e-6,0.9046577754255176
10.0,3.9409016404034476e-6,0.9042393549665412
10.0,3.986581073580439e-6,0.9038193720387504
10.0,4.0327899821937055e-6,0.9033978224764241
10.0,4.0795345034524486e-6,0.9029747021105474
10.0,4.126820845702952e-6,0.902550006772314
10.0,4.174655289253135e-6,0.9021237322935999
10.0,4.223044187206672e-6,0.9016958745035901
10.0,4.271993966306777e-6,0.9012664292334129
10.0,4.321511127789762e-6,0.9008353923129498
10.0,4.371602248248502e-6,0.9004027595726534
10.0,4.422273980505897e-6,0.899968526840638
10.0,4.473533054498463e-6,0.8995326899465733
10.0,4.525386278170167e-6,0.8990952447226925
10.0,4.577840538376616e-6,0.8986561869965116
10.0,4.630902801799737e-6,0.8982155126005082
10.0,4.684580115873045e-6,0.8977732173641333
10.0,4.738879609717651e-6,0.8973292971180344
10.0,4.793808495089107e-6,0.8968837476954898
10.0,4.849374067335233e-6,0.89643656492763
10.0,4.905583706365046e-6,0.8959877446478162
10.0,4.962444877628914e-6,0.8955372826906404
10.0,5.019965133110079e-6,0.8950851748893349
10.0,5.07815211232767e-6,0.8946314170811563
10.0,5.137013543351339e-6,0.8941760051031995
10.0,5.1965572438276574e-6,0.893718934791898
10.0,5.2567911220184196e-6,0.8932602019876988
10.0,5.317723177850966e-6,0.89279980253209
10.0,5.379361503980698e-6,0.8923377322648651
10.0,5.441714286865887e-6,0.8918739870323052
10.0,5.504789807854967e-6,0.8914085626779367
10.0,5.568596444286409e-6,0.890941455050011
10.0,5.633142670601352e-6,0.8904726599974865
10.0,5.698437059469136e-6,0.8900021733702814
10.0,5.764488282925873e-6,0.8895299910219827
10.0,5.831305113526219e-6,0.8890561088078242
10.0,5.898896425508493e-6,0.8885805225851868
10.0,5.9672711959733106e-6,0.8881032282141825
10.0,6.036438506075864e-6,0.8876242215560028
10.0,6.106407542232036e-6,0.8871434984752548
10.0,6.1771875973384885e-6,0.8866610548407708
10.0,6.248788072006888e-6,0.8861768865212514
10.0,6.3212184758124485e-6,0.8856909893901157
10.0,6.394488428556936e-6,0.8852033593228625
10.0,6.468607661546321e-6,0.8847139921990435
10.0,6.5435860188832294e-6,0.8842228838998932
10.0,6.619433458774388e-6,0.8837300303119279
10.0,6.696160054853215e-6,0.8832354273233453
10.0,6.773775997517745e-6,0.8827390708263549
10.0,6.852291595284057e-6,0.8822409567174003
10.0,6.9317172761554005e-6,0.8817410808946871
10.0,7.012063589007177e-6,0.88123943926284
10.0,7.09334120498799e-6,0.8807360277285388
10.0,7.175560918936921e-6,0.8802308422032605
10.0,7.258733650817246e-6,0.8797238786019541
10.0,7.342870447166758e-6,0.8792151328452241
10.0,7.4279824825649105e-6,0.8787046008562177
10.0,7.514081061116962e-6,0.878192278563678
10.0,7.6011776179553225e-6,0.8776781619010525
10.0,7.689283720758305e-6,0.8771622468063942
10.0,7.778411071286483e-6,0.8766445292217322
10.0,7.868571506936844e-6,0.8761250050944958
10.0,7.959777002314978e-6,0.8756036703777118
10.0,8.05203967082547e-6,0.8750805210290503
10.0,8.145371766280737e-6,0.8745555530112661
10.0,8.239785684528512e-6,0.8740287622933498
10.0,8.335293965098187e-6,0.8735001448492838
10.0,8.43190929286625e-6,0.8729696966575743
10.0,8.529644499741017e-6,0.8724374137051345
10.0,8.628512566366886e-6,0.8719032919821337
10.0,8.72852662384837e-6,0.8713673274860891
10.0,8.829699955494083e-6,0.8708295162200006
10.0,8.93204599858096e-6,0.8702898541941837
10.0,9.035578346138921e-6,0.8697483374246558
10.0,9.140310748756223e-6,0.8692049619328657
10.0,9.246257116405733e-6,0.8686597237483885
10.0,9.353431520292377e-6,0.8681126189070963
10.0,9.461848194721993e-6,0.8675636434517666
10.0,9.571521538991856e-6,0.8670127934316676
10.0,9.682466119303115e-6,0.8664600649039297
10.0,9.794696670695386e-6,0.865905453932238
10.0,9.908228099003787e-6,0.865348956588411
10.0,1.0023075482838644e-5,0.8647905689507953
10.0,1.0139254075588143e-5,0.8642302871060557
10.0,1.0256779307444209e-5,0.8636681071483481
10.0,1.0375666787451848e-5,0.8631040251802292
10.0,1.0495932305582267e-5,0.8625380373110341
10.0,1.0617591834829991e-5,0.8619701396600987
10.0,1.0740661533334323e-5,0.8614003283538025
10.0,1.0865157746525373e-5,0.860828599526426
10.0,1.099109700929496e-5,0.8602549493220963
10.0,1.1118496048192698e-5,0.8596793738932608
10.0,1.1247371783647507e-5,0.8591018694008428
10.0,1.1377741332214902e-5,0.8585224320145111
10.0,1.1509622008850311e-5,0.8579410579140296
10.0,1.1643031329208755e-5,0.857357743287285
10.0,1.177798701197118e-5,0.8567724843318851
10.0,1.1914506981197747e-5,0.8561852772558511
10.0,1.2052609368708414e-5,0.8555961182755711
10.0,1.2192312516491094e-5,0.8550050036181895
10.0,1.2333634979137747e-5,0.8544119295198195
10.0,1.2476595526308685e-5,0.8538168922272007
10.0,1.2621213145225462e-5,0.8532198879971085
10.0,1.2767507043192644e-5,0.8526209130977364
10.0,1.2915496650148827e-5,0.852019963805638
10.0,1.3065201621247199e-5,0.8514170364100785
10.0,1.3216641839466038e-5,0.8508121272097882
10.0,1.3369837418249452e-5,0.8502052325152543
10.0,1.352480870417874e-5,0.8495963486475615
10.0,1.3681576279674705e-5,0.8489854719391301
10.0,1.3840160965731302e-5,0.8483725987337035
10.0,1.400058382468096e-5,0.8477577253864546
10.0,1.4162866162991973e-5,0.8471408482650614
10.0,1.4327029534098295e-5,0.8465219637475276
10.0,1.449309574126215e-5,0.8459010682247824
10.0,1.466108684046983e-5,0.8452781581004147
10.0,1.4831025143361029e-5,0.8446532297889287
10.0,1.5002933220192168e-5,0.8440262797178402
10.0,1.5176833902834038e-5,0.843397304327806
10.0,1.535275028780421e-5,0.842766300071293
10.0,1.5530705739334586e-5,0.8421332634145863
10.0,1.5710723892474488e-5,0.8414981908359407
10.0,1.5892828656229765e-5,0.8408610788278157
10.0,1.607704421673822e-5,0.8402219238953055
10.0,1.6263395040481907e-5,0.8395807225570564
10.0,1.6451905877536607e-5,0.838937471345903
10.0,1.664260176485902e-5,0.8382921668081094
10.0,1.6835508029612008e-5,0.8376448055035235
10.0,1.7030650292528425e-5,0.836995384007335
10.0,1.7228054471313922e-5,0.8363438989078675
10.0,1.7427746784089175e-5,0.8356903468085976
10.0,1.762975375287204e-5,0.8350347243266218
10.0,1.78341022071001e-5,0.8343770280949014
10.0,1.8040819287193846e-5,0.8337172547609975
10.0,1.824993244816154e-5,0.8330554009877635
10.0,1.8461469463245495e-5,0.8323914634524048
10.0,1.867545842761078e-5,0.831725438848821
10.0,1.8891927762076683e-5,0.8310573238855422
10.0,1.91109062168914e-5,0.8303871152872817
10.0,1.933242287555047e-5,0.8297148097945489
10.0,1.955650715865951e-5,0.8290404041640826
10.0,1.9783188827841662e-5,0.8283638951687502
10.0,2.001249798969039e-5,0.8276852795982403
10.0,2.024446509976806e-5,0.8270045542579267
10.0,2.0479120966650876e-5,0.8263217159704985
10.0,2.071649675602071e-5,0.825636761576063
10.0,2.095662399480435e-5,0.824949687931118
10.0,2.119953457536073e-5,0.8242604919096055
10.0,2.1445260759716698e-5,0.8235691704028121
10.0,2.1693835183851867e-5,0.822875720320344
10.0,2.194529086203316e-5,0.8221801385881445
10.0,2.2199661191199572e-5,0.8214824221519093
10.0,2.2456979955397763e-5,0.8207825679741649
10.0,2.2717281330269074e-5,0.8200805730361131
10.0,2.2980599887588535e-5,0.819376434337753
10.0,2.3246970599856503e-5,0.8186701488972747
10.0,2.351642884494351e-5,0.8179617137520765
10.0,2.3789010410788956e-5,0.8172511259581534
10.0,2.4064751500154266e-5,0.8165383825910998
10.0,2.434368873543113e-5,0.8158234807460725
10.0,2.4625859163505493e-5,0.8151064175367839
10.0,2.491130026067791e-5,0.8143871900977642
10.0,2.5200049937640946e-5,0.8136657955830655
10.0,2.5492146544514258e-5,0.8129422311668306
