J,Ka,R_in,beta,q_active,pmd_target,pfa_target,gamma_target,E_optimal_dB,eta_optimal,gamma_optimal,E_algorithmic_dB,eta_algorithmic,gamma_algorithmic
3.800000000000000000e+01,5.242880000000000000e+05,3.814697265625000000e-06,2.759410526315789321e+04,1.907346813827722313e-06,6.250000000000000347e-03,1.907348632812500040e-08,6.395085559427015198e+01,-5.843749999999987566e-01,9.626905748601523038e-01,6.395327837364797574e+01,1.057812500000002487e+00,9.987710489031939032e-01,9.684133937505117729e+01
3.900000000000000000e+01,7.414550000000000000e+05,2.697399032982446499e-06,3.802335386558894970e+04,1.348697878713517928e-06,6.250000000000000347e-03,1.348698788206093046e-08,6.492698131536789674e+01,-6.062499999999987343e-01,9.640364381196718790e-01,6.539778695095533578e+01,1.110937500000002576e+00,9.991740478290216387e-01,1.006536429740288554e+02
4.000000000000000000e+01,1.048576000000000000e+06,1.907348632812500000e-06,5.242880000000000291e+04,9.536738616594773194e-07,6.250000000000000347e-03,9.536743164062500199e-09,6.590041374173989652e+01,-6.249999999999987788e-01,9.657173122741399274e-01,6.690213911044614292e+01,1.164062500000002665e+00,1.000000000000000000e+00,1.045914627943642756e+02
4.100000000000000000e+01,1.482910000000000000e+06,1.348699516491223250e-06,7.233711223209605669e+04,6.743491667296982299e-07,6.250000000000000347e-03,6.743493941030465232e-09,6.687123178055576034e+01,-6.421874999999988010e-01,9.682993353513023038e-01,6.848646277742567179e+01,1.215625000000002842e+00,1.000000000000000000e+00,1.084866634193335670e+02
4.200000000000000000e+01,2.097152000000000000e+06,9.536743164062500000e-07,9.986438095238094684e+04,4.768370445163595409e-07,6.250000000000000347e-03,4.768371582031250099e-09,6.783950478014084240e+01,-6.578124999999988010e-01,9.716407096408344879e-01,7.014613368432833340e+01,1.270312500000002842e+00,1.000000000000000000e+00,1.125409394239835734e+02
4.300000000000000000e+01,2.965821000000000000e+06,6.743495308718901241e-07,1.379451442565458419e+05,3.371747538949600077e-07,6.250000000000000347e-03,3.371748107383609650e-09,6.880530391484714414e+01,-6.734374999999988010e-01,9.747352727493595603e-01,7.178626923013864314e+01,1.328125000000002887e+00,1.000000000000000000e+00,1.167645342210458921e+02
4.400000000000000000e+01,4.194304000000000000e+06,4.768371582031250000e-07,1.906501818181818235e+05,2.384185506798620958e-07,6.250000000000000347e-03,2.384185791015625050e-09,6.976869501156561171e+01,-6.874999999999988898e-01,9.769536062966773793e-01,7.338488407573936456e+01,1.385937500000002931e+00,1.000000000000000000e+00,1.210811179436823295e+02
4.500000000000000000e+01,5.931642000000000000e+06,3.371747654359450621e-07,2.636284979125098325e+05,1.685873911583270693e-07,6.250000000000000347e-03,1.685874053691804825e-09,7.072974045851854896e+01,-7.015624999999988676e-01,9.782795871164309265e-01,7.491163069871235791e+01,1.442187500000003286e+00,1.000000000000000000e+00,1.254472829578116091e+02
4.600000000000000000e+01,8.388608000000000000e+06,2.384185791015625000e-07,3.647220869565217290e+05,1.192092824453550174e-07,6.250000000000000347e-03,1.192092895507812525e-09,7.168850142354244781e+01,-7.156249999999988454e-01,9.793427323685524044e-01,7.641172994892068004e+01,1.496875000000003064e+00,1.000000000000000000e+00,1.298599787128631249e+02
4.700000000000000000e+01,1.186328300000000000e+07,1.685873969288265315e-07,5.048205704707613331e+05,8.429369202644973673e-08,6.250000000000000347e-03,8.429369557916288737e-10,7.264503526610052120e+01,-7.281249999999988010e-01,9.807087007252185407e-01,7.795704738934168176e+01,1.548437500000003020e+00,1.000000000000000000e+00,1.342677167149210220e+02
