J,Ka,Phat,Phat_avg,allocation,branch,eta,gamma_effective,gamma_levels,gamma_target,local_minima_count,local_minima_eta,prior_mean,prior_p0,prior_p1,threshold_EbN0_dB
20,150,44.314797113817846,44.314797113817846,flat,algorithmic,0.9246885056095047,40.97738351956461,40.977384,40.95732534629209,,,0.0001430511474609375,0.9998569590156642,0.00014303082168881542,2.992187500000001
20,150,44.314797113817846,44.314797113817846,flat,optimal,0.9246885056095047,40.97738351956461,40.977384,40.95732534629209,,,0.0001430511474609375,0.9998569590156642,0.00014303082168881542,2.992187500000001
20,200,45.07051445358034,45.07051445358034,flat,algorithmic,0.9092169172076894,40.97887420844892,40.978874,40.95732534629209,,,0.00019073486328125,0.9998092832345242,0.00019069866880948414,3.0656250000000007
20,200,45.07051445358034,45.07051445358034,flat,optimal,0.9092169172076894,40.97887420844892,40.978874,40.95732534629209,,,0.00019073486328125,0.9998092832345242,0.00019069866880948414,3.0656250000000007
20,250,45.97124497676673,45.97124497676673,flat,algorithmic,0.8979597445926518,41.28032739794368,41.280327,40.95732534629209,,,0.0002384185791015625,0.9997616097266895,0.00023836196975101672,3.151562500000001
20,250,45.78967017712592,45.78967017712592,flat,optimal,0.8950312123685898,40.983184012590876,40.983184,40.95732534629209,,,0.0002384185791015625,0.9997616097266895,0.00023836196975101672,3.1343750000000012
20,300,65.38152036249878,65.38152036249878,flat,algorithmic,0.9897166234230252,64.70917756743606,64.709178,40.95732534629209,,,0.000286102294921875,0.9997139384920516,0.0002860207248385814,4.681250000000002
20,300,49.47220475020903,49.47220475020903,flat,optimal,0.924681265128255,45.746020877107355,45.746021,40.95732534629209,,,0.000286102294921875,0.9997139384920516,0.0002860207248385814,3.4703125000000012
15,50,36.49408783670064,36.49408783670064,power_allocated,algorithmic,0.9654197634915247,32.4634768460129,32.463477 36.359094 37.008364,32.45403843218293,1,0.96541976,0.00152587890625,0.9984752614070381,0.0015235988363399733,4.653125000000002
15,50,36.49408783670064,36.49408783670064,power_allocated,optimal,0.9654197634915247,32.4634768460129,32.463477 36.359094 37.008364,32.45403843218293,1,0.96541976,0.00152587890625,0.9984752614070381,0.0015235988363399733,4.653125000000002
15,100,37.25021322150841,37.25021322150841,power_allocated,algorithmic,0.9459308985052717,32.46717542769489,32.467175 36.363236 37.01258,32.45403843218293,1,0.9459309,0.0030517578125,0.9969528476418531,0.0030425514927880275,4.742187500000002
15,100,37.25021322150841,37.25021322150841,power_allocated,optimal,0.9459308985052717,32.46717542769489,32.467175 36.363236 37.01258,32.45403843218293,1,0.9459309,0.0030517578125,0.9969528476418531,0.0030425514927880275,4.742187500000002
15,150,37.8854554853744,37.8854554853744,power_allocated,algorithmic,0.9300480226587144,32.46640632032351,32.466406 36.362375 37.011703,32.45403843218293,1,0.93004802,0.00457763671875,0.9954327551596902,0.00455686859565885,4.8156250000000025
15,150,37.8854554853744,37.8854554853744,power_allocated,optimal,0.9300480226587144,32.46640632032351,32.466406 36.362375 37.011703,32.45403843218293,1,0.93004802,0.00457763671875,0.9954327551596902,0.00455686859565885,4.8156250000000025
15,200,38.44844349681908,38.44844349681908,power_allocated,algorithmic,0.9163189255367793,32.462484281930216,32.462484 36.357982 37.007232,32.45403843218293,1,0.91631893,0.006103515625,0.9939149804211999,0.00606656074966399,4.879687500000001
