AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
0.91,3.75,15,150,0.33746666666666664,0.3333333333333333,0.006420911403747129,flat,22.39789390563965,56.86,100.04,5062,0.0,15000,0.0,100
0.91,4.0,15,150,0.19686666666666666,0.19,0.0052778724074451135,flat,19.367629289627075,47.72,121.31,2953,0.0,15000,0.0,100
0.91,4.25,15,150,0.10753333333333334,0.10666666666666667,0.0034539198441136836,flat,11.718983173370361,40.87,134.73,1613,0.0,15000,0.0,100
0.91,4.5,15,150,0.054133333333333325,0.05333333333333334,0.002344667039076165,flat,18.228771686553955,35.76,142.78,812,0.02,15000,0.0,100
0.91,4.75,15,150,0.027266666666666665,0.02666666666666667,0.0015716197939245496,flat,25.88614249229431,32.09,146.87,409,0.07,15000,0.0,100
0.91,4.625,15,150,0.037066666666666664,0.03333333333333333,0.0020130215826602285,flat,11.60449767112732,33.74,145.38,556,0.03,15000,0.0,100
0.91,4.5625,15,150,0.04453333333333334,0.04666666666666667,0.0021100582169723053,flat,17.82493257522583,34.68,144.24,668,0.02,15000,0.0,100
0.91,4.53125,15,150,0.04920000000000001,0.04666666666666667,0.002217732838960909,flat,11.815867900848389,35.21,143.53,738,0.02,15000,0.0,100
0.9,2.0,15,150,0.9918666666666668,0.9933333333333333,0.0007614741447851041,power_allocated,8.824605941772461,48.01,1.23,14878,0.0,15000,0.0,100
0.9,2.25,15,150,0.9826000000000001,0.98,0.001033208420819813,power_allocated,20.4231915473938,53.16,2.62,14739,0.0,15000,0.0,100
0.9,2.5,15,150,0.9644000000000001,0.9666666666666667,0.0017009141267101645,power_allocated,14.71675419807434,59.11,5.39,14466,0.0,15000,0.0,100
0.9,2.75,15,150,0.9203333333333333,0.92,0.002851152128947488,power_allocated,17.32368278503418,66.1,12.05,13805,0.0,15000,0.0,100
0.9,3.0,15,150,0.8433333333333333,0.8433333333333333,0.004480159528985853,power_allocated,26.816505193710327,72.06,23.69,12650,0.0,15000,0.0,100
0.9,3.25,15,150,0.6995333333333333,0.7,0.006739171386485951,power_allocated,12.506367921829224,72.92,45.4,10493,0.0,15000,0.0,100
0.91,3.5,15,150,0.5249333333333334,0.5233333333333333,0.007346862329120694,power_allocated,13.20773983001709,66.41,71.69,7874,0.0,15000,0.0,100
0.91,3.75,15,150,0.3439333333333333,0.34,0.00652997577437443,power_allocated,8.820084571838379,56.91,99.0,5159,0.0,15000,0.0,100
0.91,4.0,15,150,0.2042,0.19666666666666666,0.0054931076087127466,power_allocated,16.15470838546753,47.75,120.13,3063,0.0,15000,0.0,100
0.91,4.25,15,150,0.11553333333333332,0.10666666666666667,0.003791484344600876,power_allocated,17.15506386756897,41.0,133.51,1733,0.0,15000,0.0,100
0.91,4.5,15,150,0.059933333333333325,0.05333333333333334,0.0026641317918347945,power_allocated,22.00644302368164,35.91,141.91,899,0.0,15000,0.0,100
0.91,4.75,15,150,0.030333333333333337,0.02666666666666667,0.001586630449746522,power_allocated,21.94042992591858,32.06,146.39,455,0.02,15000,0.0,100
0.91,4.625,15,150,0.0426,0.04,0.0021417657420519077,power_allocated,19.447004556655884,33.79,144.53,639,0.0,15000,0.0,100
0.91,4.5625,15,150,0.0508,0.04666666666666667,0.0022717313193751265,power_allocated,20.932655096054077,34.83,143.28,762,0.0,15000,0.0,100
0.91,4.59375,15,150,0.04626666666666668,0.04,0.0022097021042326173,power_allocated,20.104743719100952,34.36,143.98,694,0.0,15000,0.0,100
0.83,2.0,15,200,0.9986999999999999,1.0,0.00023159525823376374,flat,13.379421472549438,52.56,0.26,19974,0.0,20000,0.0,100
0.83,2.25,15,200,0.99775,1.0,0.00032078659635969924,flat,13.052691221237183,57.75,0.45,19955,0.0,20000,0.0,100
0.84,2.5,15,200,0.9954999999999999,0.995,0.0004632995409521414,flat,12.30626916885376,64.56,0.9,19910,0.0,20000,0.0,100
0.84,2.75,15,200,0.9900499999999998,0.99,0.000799289457182839,flat,12.631964206695557,75.21,2.0,19801,0.0,20000,0.0,100
0.66,3.0,15,200,0.9780999999999999,0.98,0.0013041890548954524,flat,12.815954685211182,92.79,4.43,19562,0.0,20000,0.0,100
