curve_type,source_file,remainder_allocation,J,Ka,alpha,rate,reliable,cap_hit_fraction,pupe,total_parity,effective_information_bits
entropy_bound,analytic,,12,1999.2230952863022,1.0943689126084055,0.16430149605343014,true,,,,
entropy_bound,analytic,,12,1967.141984039213,1.0967031354236156,0.1664090849200938,true,,,,
entropy_bound,analytic,,12,1935.708680641512,1.0990373582388258,0.16851279291567683,true,,,,
entropy_bound,analytic,,12,1904.9077158413206,1.1013715810540359,0.170612444409467,true,,,,
entropy_bound,analytic,,12,1874.7240429473115,1.103705803869246,0.17270787096492224,true,,,,
entropy_bound,analytic,,12,1845.143024905524,1.1060400266844561,0.17479891114235752,true,,,,
entropy_bound,analytic,,12,1816.1504218120056,1.1083742494996662,0.17688541030444282,true,,,,
entropy_bound,analytic,,12,1787.7323788451952,1.1107084723148766,0.17896722042465882,true,,,,
entropy_bound,analytic,,12,1759.8754146027563,1.1130426951300867,0.18104419989882617,true,,,,
entropy_bound,analytic,,12,1732.5664098279801,1.1153769179452968,0.18311621335982475,true,,,,
entropy_bound,analytic,,12,1705.7925965116592,1.117711140760507,0.18518313149558693,true,,,,
entropy_bound,analytic,,12,1679.5415473557355,1.120045363575717,0.18724483087044624,true,,,,
entropy_bound,analytic,,12,1653.8011655856678,1.1223795863909272,0.18930119374990356,true,,,,
entropy_bound,analytic,,12,1628.5596750988957,1.1247138092061373,0.19135210792886312,true,,,,
entropy_bound,analytic,,12,1603.8056109373258,1.1270480320213474,0.19339746656337944,true,,,,
entropy_bound,analytic,,12,1579.5278100722212,1.1293822548365575,0.19543716800594207,true,,,,
entropy_bound,analytic,,12,1555.7154024903055,1.1317164776517679,0.197471115644321,true,,,,
entropy_bound,analytic,,12,1532.3578025703523,1.134050700466978,0.1994992177439816,true,,,,
entropy_bound,analytic,,12,1509.4447007399076,1.136384923282188,0.20152138729407595,true,,,,
entropy_bound,analytic,,12,1486.9660554022632,1.1387191460973982,0.2035375418569995,true,,,,
entropy_bound,analytic,,12,1464.9120851240782,1.1410533689126083,0.2055476034215088,true,,,,
entropy_bound,analytic,,12,1443.2732610745006,1.1433875917278185,0.20755149825937813,true,,,,
entropy_bound,analytic,,12,1422.04029970693,1.1457218145430286,0.20954915678557492,true,,,,
entropy_bound,analytic,,12,1401.2041556749446,1.1480560373582387,0.21154051342192323,true,,,,
entropy_bound,analytic,,12,1380.756014974192,1.1503902601734488,0.2135255064642254,true,,,,
entropy_bound,analytic,,12,1360.6872883023918,1.152724482988659,0.21550407795280338,true,,,,
entropy_bound,analytic,,12,1340.9896046298768,1.155058705803869,0.21747617354641896,true,,,,
entropy_bound,analytic,,12,1321.654804973365,1.1573929286190792,0.21944174239953176,true,,,,
entropy_bound,analytic,,12,1302.6749363659837,1.1597271514342895,0.2214007370428448,true,,,,
entropy_bound,analytic,,12,1284.0422460167626,1.1620613742494996,0.22335311326709126,true,,,,
entropy_bound,analytic,,12,1265.7491756530937,1.1643955970647097,0.2252988300100111,true,,,,
entropy_bound,analytic,,12,1247.7883560399237,1.1667298198799199,0.2272378492464629,true,,,,
entropy_bound,analytic,,12,1230.1526016696298,1.16906404269513,0.2291701358816155,true,,,,
entropy_bound,analytic,,12,1212.8349056167754,1.17139826551034,0.2310956576471668,true,,,,
entropy_bound,analytic,,12,1195.8284345521542,1.1737324883255502,0.23301438500052882,true,,,,
entropy_bound,analytic,,12,1179.1265239107431,1.1760667111407603,0.23492629102692178,true,,,,
entropy_bound,analytic,,12,1162.722673208367,1.1784009339559705,0.23683135134431887,true,,,,
entropy_bound,analytic,,12,1146.61054150207,1.1807351567711808,0.2387295440111823,true,,,,
entropy_bound,analytic,,12,1130.783942989398,1.183069379586391,0.24062084943692832,true,,,,
entropy_bound,analytic,,12,1115.2368427419067,1.185403602401601,0.24250525029506656,true,,,,
entropy_bound,analytic,,12,1099.9633525684665,1.1877378252168111,0.24438273143894676,true,,,,
entropy_bound,analytic,,12,1084.9577270040234,1.1900720480320213,0.246253279820058,true,,,,
entropy_bound,analytic,,12,1070.2143594196586,1.1924062708472314,0.24811688440881827,true,,,,
entropy_bound,analytic,,12,1055.72777824995,1.1947404936624415,0.24997353611779494,true,,,,
entropy_bound,analytic,,12,1041.4926433337455,1.1970747164776516,0.25182322772729926,true,,,,
entropy_bound,analytic,,12,1027.5037423646604,1.1994089392928617,0.2536659538132908,true,,,,
entropy_bound,analytic,,12,1013.7559874476535,1.2017431621080719,0.25550171067754124,true,,,,
entropy_bound,analytic,,12,1000.2444117582579,1.204077384923282,0.2573304962799922,true,,,,
entropy_bound,analytic,,12,986.9641663010952,1.2064116077384923,0.25915231017325685,true,,,,
entropy_bound,analytic,,12,973.9105167644617,1.2087458305537024,0.2609671534392041,true,,,,
entropy_bound,analytic,,12,961.0788404678536,1.2110800533689126,0.26277502862757446,true,,,,
