S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
7.977911646586346439e-01,-7.700000000001114842e-01,9.851334326590498458e-01,6.600624773232834741e+01,2.091361670682731346e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.076305220883535085e-01,-7.700000000001114842e-01,9.849327821258597737e-01,6.599280367656666613e+01,2.117154955823293494e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.174698795180724842e-01,-7.700000000001114842e-01,9.847314409476041197e-01,6.597931334596771080e+01,2.142948240963856006e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.273092369477913488e-01,-7.700000000001114842e-01,9.845298252564482766e-01,6.596580462236136100e+01,2.168741526104418153e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.371485943775102134e-01,-7.700000000001114842e-01,9.843276835365162292e-01,6.595226065359476308e+01,2.194534811244980301e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.469879518072290780e-01,-7.700000000001114842e-01,9.841251143680909141e-01,6.593868804477777701e+01,2.220328096385542449e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.568273092369479427e-01,-7.700000000001114842e-01,9.839221197256710072e-01,6.592508692820645422e+01,2.246121381526104960e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.666666666666668073e-01,-7.700000000001114842e-01,9.837185649534734289e-01,6.591144828162788372e+01,2.271914666666667108e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.765060240963856719e-01,-7.600000000001116973e-01,9.837503517117934804e-01,6.606552455891306863e+01,2.297707951807229256e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.863453815261045365e-01,-7.600000000001116973e-01,9.835486290565184087e-01,6.605197751111484195e+01,2.323501236947791404e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
8.961847389558234012e-01,-7.600000000001116973e-01,9.833463345441723069e-01,6.603839205922628253e+01,2.349294522088353551e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.060240963855423768e-01,-7.600000000001116973e-01,9.831436554267841688e-01,6.602478077849424665e+01,2.375087807228916063e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.158634538152612414e-01,-7.600000000001116973e-01,9.829405009509044611e-01,6.601113757420758077e+01,2.400881092369478574e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.257028112449801061e-01,-7.600000000001116973e-01,9.827367879990480670e-01,6.599745686446203763e+01,2.426674377510040722e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.355421686746989707e-01,-7.600000000001116973e-01,9.825327272486474861e-01,6.598375279767961388e+01,2.452467662650602870e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.453815261044178353e-01,-7.600000000001116973e-01,9.823284088222382637e-01,6.597003142620127392e+01,2.478260947791165017e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.552208835341366999e-01,-7.600000000001116973e-01,9.821234650992572979e-01,6.595626806180681001e+01,2.504054232931727165e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.650602409638555645e-01,-7.600000000001116973e-01,9.819180051706817292e-01,6.594247003069702373e+01,2.529847518072289677e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.748995983935744292e-01,-7.600000000001116973e-01,9.817121209514170221e-01,6.592864350558274111e+01,2.555640803212851824e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.847389558232932938e-01,-7.600000000001116973e-01,9.815057764574979249e-01,6.591478606989605282e+01,2.581434088353413972e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
9.945783132530121584e-01,-7.600000000001116973e-01,9.812989312740967307e-01,6.590089500950648471e+01,2.607227373493976120e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.004417670682731023e+00,-7.500000000001119105e-01,9.813656914305641799e-01,6.605730599575464623e+01,2.633020658634538268e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.014257028112449888e+00,-7.500000000001119105e-01,9.811603876345155184e-01,6.604348666643011256e+01,2.658813943775100779e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.024096385542168752e+00,-7.500000000001119105e-01,9.809549901963535712e-01,6.602966103390404840e+01,2.684607228915662927e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.033935742971887617e+00,-7.500000000001119105e-01,9.807489243843806603e-01,6.601579041205980047e+01,2.710400514056225074e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.043775100401606482e+00,-7.500000000001119105e-01,9.805424246797063148e-01,6.600189058419866228e+01,2.736193799196787222e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
