S_in,E_optimal_asymptotic_dB,E_amp_asymptotic_dB
1.319277108433735135e+00,-2.466056233046984403e+00,6.075917376652560264e+00
1.329116465863454000e+00,-2.449012163020634070e+00,6.436735886806038920e+00
1.338955823293172864e+00,-2.431951950017423592e+00,6.830270361277697155e+00
1.348795180722891729e+00,-2.414875603964375284e+00,7.263050588127053508e+00
1.358634538152610594e+00,-2.397783134851898090e+00,7.743780212960204246e+00
1.368473895582329458e+00,-2.380674552733597071e+00,8.284423526725742448e+00
1.378313253012048323e+00,-2.363549867726058462e+00,8.902069714971844405e+00
1.388152610441767187e+00,-2.346409090008646281e+00,9.622355178465067382e+00
1.397991967871486052e+00,-2.329252229823302045e+00,1.048632625529356943e+01
1.407831325301205139e+00,-2.312079297474323614e+00,1.156596334319651831e+01
1.417670682730924003e+00,-2.294890303328174674e+00,1.300607057125581001e+01
1.427510040160642868e+00,-2.277685257813256481e+00,1.517555187251601367e+01
1.437349397590361733e+00,-2.260464171419711565e+00,1.970970028332516222e+01
1.447188755020080597e+00,-2.243227054699203471e+00,nan
1.457028112449799462e+00,-2.225973918264708473e+00,nan
1.466867469879518326e+00,-2.208704772790298865e+00,nan
1.476706827309237191e+00,-2.191419629010934234e+00,nan
1.486546184738956056e+00,-2.174118497722237642e+00,nan
1.496385542168674920e+00,-2.156801389780286904e+00,nan
1.506224899598393785e+00,-2.139468316101392098e+00,nan
1.516064257028112650e+00,-2.122119287661880627e+00,nan
1.525903614457831514e+00,-2.104754315497876060e+00,nan
1.535742971887550379e+00,-2.087373410705080978e+00,nan
1.545582329317269243e+00,-2.069976584438552258e+00,nan
1.555421686746988108e+00,-2.052563847912480366e+00,nan
1.565261044176706973e+00,-2.035135212399969973e+00,nan
1.575100401606425837e+00,-2.017690689232814805e+00,nan
1.584939759036144924e+00,-2.000230289801268491e+00,nan
1.594779116465863789e+00,-1.982754025553828958e+00,nan
1.604618473895582653e+00,-1.965261907997004842e+00,nan
1.614457831325301518e+00,-1.947753948695090109e+00,nan
1.624297188755020382e+00,-1.930230159269939350e+00,nan
1.634136546184739247e+00,-1.912690551400735517e+00,nan
1.643975903614458112e+00,-1.895135136823765665e+00,nan
1.653815261044176976e+00,-1.877563927332186022e+00,nan
1.663654618473895841e+00,-1.859976934775794177e+00,nan
1.673493975903614706e+00,-1.842374171060796373e+00,nan
1.683333333333333570e+00,-1.824755648149578580e+00,nan
1.693172690763052435e+00,-1.807121378060466022e+00,nan
1.703012048192771299e+00,-1.789471372867498022e+00,nan
1.712851405622490164e+00,-1.771805644700189530e+00,nan
1.722690763052209029e+00,-1.754124205743295084e+00,nan
1.732530120481927893e+00,-1.736427068236575000e+00,nan
1.742369477911646758e+00,-1.718714244474557118e+00,nan
1.752208835341365623e+00,-1.700985746806302767e+00,nan
1.762048192771084709e+00,-1.683241587635165182e+00,nan
1.771887550200803574e+00,-1.665481779418552799e+00,nan
1.781726907630522438e+00,-1.647706334667690786e+00,nan
1.791566265060241303e+00,-1.629915265947379455e+00,nan
1.801405622489960168e+00,-1.612108585875754452e+00,nan
1.811244979919679032e+00,-1.594286307124047619e+00,nan
1.821084337349397897e+00,-1.576448442416340523e+00,nan
1.830923694779116762e+00,-1.558595004529328198e+00,nan
1.840763052208835626e+00,-1.540726006292071570e+00,nan
1.850602409638554491e+00,-1.522841460585755868e+00,nan
1.860441767068273355e+00,-1.504941380343447488e+00,nan
1.870281124497992220e+00,-1.487025778549847743e+00,nan
1.880120481927711085e+00,-1.469094668241046175e+00,nan
1.889959839357429949e+00,-1.451148062504278080e+00,nan
1.899799196787148814e+00,-1.433185974477678037e+00,nan
1.909638554216867679e+00,-1.415208417350031667e+00,nan
1.919477911646586543e+00,-1.397215404360526714e+00,nan
1.929317269076305408e+00,-1.379206948798509469e+00,nan
1.939156626506024272e+00,-1.361183064003232968e+00,nan
1.948995983935743359e+00,-1.343143763363607857e+00,nan
1.958835341365462224e+00,-1.325089060317957479e+00,nan
1.968674698795181088e+00,-1.307018968353763855e+00,nan
1.978514056224899953e+00,-1.288933501007416771e+00,nan
1.988353413654618818e+00,-1.270832671863967311e+00,nan
1.998192771084337682e+00,-1.252716494556873839e+00,nan
2.008032128514056325e+00,-1.234584982767749972e+00,nan
2.017871485943775411e+00,-1.216438150226113457e+00,nan
2.027710843373494054e+00,-1.198276010709136585e+00,nan
2.037550200803213141e+00,-1.180098578041385071e+00,nan
2.047389558232931783e+00,-1.161905866094578244e+00,nan
2.057228915662650870e+00,-1.143697888787317485e+00,nan
2.067068273092369513e+00,-1.125474660084851752e+00,nan
2.076907630522088599e+00,-1.107236193998808682e+00,nan
2.086746987951807242e+00,-1.088982504586945677e+00,nan
2.096586345381526328e+00,-1.070713605952892999e+00,nan
2.106425702811244971e+00,-1.052429512245902643e+00,nan
2.116265060240964058e+00,-1.034130237660584539e+00,nan
2.126104417670682700e+00,-1.015815796436661200e+00,nan
2.135943775100401787e+00,-9.974862028586988227e-01,nan
2.145783132530120429e+00,-9.791414712558644817e-01,nan
2.155622489959839516e+00,-9.607816160016536822e-01,nan
2.165461847389558159e+00,-9.424066515136491073e-01,nan
2.175301204819277245e+00,-9.240165922532495024e-01,nan
2.185140562248995888e+00,-9.056114527254206514e-01,nan
2.194979919678714975e+00,-8.871912474784338087e-01,nan
2.204819277108433617e+00,-8.687559911036067950e-01,nan
2.214658634538152704e+00,-8.503056982350472026e-01,nan
2.224497991967871791e+00,-8.318403835493926035e-01,nan
2.234337349397590433e+00,-8.133600617655525333e-01,nan
2.244176706827309520e+00,-7.948647476444475890e-01,nan
2.254016064257028162e+00,-7.763544559887535224e-01,nan
2.263855421686747249e+00,-7.578292016426345645e-01,nan
2.273694779116465892e+00,-7.392889994914921825e-01,nan
