eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
3.761567319716548757e-02,-2.106534658894055667e+01,-1.962038077917807399e+01,-1.711065196038814307e+01,-2.030402536736305663e+01,8.219882363709545281e-01,8.638498229954457708e-01,9.572396004894756505e-01,8.480255776633276454e-01
3.797832430179241131e-02,-2.081163912194774568e+01,-1.936697037563765633e+01,-1.685886940114574983e+01,-2.005068846580136466e+01,8.143948688077047304e-01,8.567804200140599624e-01,9.510800582667715553e-01,8.407082368890774760e-01
3.834097540641934199e-02,-2.056273636477036604e+01,-1.911837143872054412e+01,-1.661193746822783623e+01,-1.980216511347661168e+01,8.068926373209508451e-01,8.498020441535989455e-01,9.450109457248050404e-01,8.334818962025472011e-01
3.870362651104626572e-02,-2.031850336674536450e+01,-1.887444913212206288e+01,-1.636972183216219889e+01,-1.955832047931166073e+01,7.994798239473747126e-01,8.429129749796446802e-01,9.390305281359474510e-01,8.263448344131087975e-01
3.906627761567319640e-02,-2.007881019007459145e+01,-1.863507363280530882e+01,-1.613209317150699462e+01,-1.931902474416357762e+01,7.921547587547040914e-01,8.361115400472797221e-01,9.331371185792169953e-01,8.192953783179808269e-01
3.942892872030012708e-02,-1.984353167926352413e+01,-1.840011990057249491e+01,-1.589892696147213691e+01,-1.908415287395521887e+01,7.849158180655994022e-01,8.293961131248038798e-01,9.273290761624408685e-01,8.123319009257833345e-01
3.979157982492705081e-02,-1.961254724321450027e+01,-1.816946746060506257e+01,-1.567010322483376683e+01,-1.885358439576622658e+01,7.777614227628575350e-01,8.227651124986630204e-01,9.216048043279085888e-01,8.054528197618281427e-01
4.015423092955398149e-02,-1.938574064912780770e+01,-1.794300020091623793e+01,-1.544550631974455612e+01,-1.862720319056158047e+01,7.706900366714990458e-01,8.162169993545353996e-01,9.159627492416677619e-01,7.986565952515936040e-01
4.051688203418091216e-02,-1.916299982747081643e+01,-1.772060616998570026e+01,-1.522502478836501361e+01,-1.840489730656614853e+01,7.637001650135913922e-01,8.097502762318415925e-01,9.104013982487424439e-01,7.919417291756241095e-01
4.087953313880783590e-02,-1.894421668732767827e+01,-1.750217739422730645e+01,-1.500855114153710623e+01,-1.818655876870893096e+01,7.567903529319168765e-01,8.033634855480431547e-01,9.049192783948419860e-01,7.853067631928211112e-01
4.124218424343476658e-02,-1.872928694149086226e+01,-1.728760970411701692e+01,-1.479598166023964723e+01,-1.797208339916437581e+01,7.499591840788379926e-01,7.970552081875680317e-01,8.995149550231149593e-01,7.787502774308264764e-01
4.160483534806169031e-02,-1.851810994031458080e+01,-1.707680256839443445e+01,-1.458721628254465585e+01,-1.776137066142869259e+01,7.432052792670058583e-01,7.908240621523274783e-01,8.941870304274038839e-01,7.722708891372217499e-01
