S_in,E_required_dB,eta_required,gamma_effective_required,beta,q_active,gamma_target,Ka
3.550200803212851808e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.382499428755020490e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.648594377510040454e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.448530238714859588e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.746987951807229100e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.514561048674698977e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.845381526104417746e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.580591858634538075e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
3.943775100401606948e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.646622668594378047e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.042168674698795594e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.712653478554217145e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.140562248995984240e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.778684288514056243e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.238955823293172887e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.844715098473895923e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.337349397590362088e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.910745908433735603e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.435742971887550734e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,2.976776718393574702e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.534136546184739380e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.042807528353413800e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.632530120481928027e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.108838338313253480e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.730923694779116673e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.174869148273092578e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.829317269076305874e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.240899958232932258e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
4.927710843373494520e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.306930768192771357e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.026104417670683722e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.372961578152611037e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.124497991967872368e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.438992388112450135e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.222891566265061014e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.505023198072289815e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.321285140562249660e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.571054008032128913e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.419678714859438307e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.637084817991968011e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.518072289156628063e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.703115627951808274e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.616465863453816709e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.769146437911647372e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.714859437751005355e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.835177247871487052e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.813253012048194002e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.901208057831326150e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
5.911646586345382648e-01,-1.220000000000101892e+00,1.000000000000000000e+00,7.550922276654161180e+01,3.967238867791165248e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.010040160642571294e-01,-1.215000000000101998e+00,1.000000000000000000e+00,7.559620603389036830e+01,4.033269677751004929e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
6.108433734939759940e-01,-1.210000000000102105e+00,1.000000000000000000e+00,7.568328950209566131e+01,4.099300487710844027e+05,2.980232194360611919e-08,7.550181816580560223e+01,3.355443200000000000e+07
