P_FA,P_MD_exact,P_MD_OR
1.961485808579429278e-05,7.994499568754195318e-01,8.288657167873241249e-01
2.007267303562568187e-05,7.981349031241012915e-01,8.275081396753920515e-01
2.054117348353064369e-05,7.968117632414294382e-01,8.261421032574274292e-01
2.102060883130158218e-05,7.954805122806245521e-01,8.247675821423074982e-01
2.151123430182167256e-05,7.941411255609422959e-01,8.233845512143629364e-01
2.201331107493032503e-05,7.927935786730158085e-01,8.219929856388915601e-01
2.252710642645982801e-05,7.914378474842316269e-01,8.205928608677071079e-01
2.305289387051710681e-05,7.900739081441460199e-01,8.191841526447292132e-01
2.359095330508633920e-05,7.887017370899380708e-01,8.177668370116124574e-01
2.414157116103017906e-05,7.873213110519008406e-01,8.163408903134148353e-01
2.470504055456825338e-05,7.859326070589688351e-01,8.149062892043037465e-01
2.528166144331500363e-05,7.845356024442794451e-01,8.134630106532988458e-01
2.587174078595924027e-05,7.831302748507780187e-01,8.120110319500575269e-01
2.647559270567063870e-05,7.817166022368511324e-01,8.105503307106931565e-01
2.709353865732048913e-05,7.802945628820009416e-01,8.090808848836336109e-01
2.772590759860481179e-05,7.788641353925522814e-01,8.076026727555154494e-01
2.837303616516211350e-05,7.774252987073964061e-01,8.061156729571152812e-01
2.903526884977813914e-05,7.759780321037687001e-01,8.046198644693174362e-01
2.971295818577334298e-05,7.745223152030622504e-01,8.031152266291181618e-01
3.040646493467068516e-05,7.730581279766730596e-01,8.016017391356642374e-01
3.111615827824363206e-05,7.715854507518820071e-01,8.000793820563276704e-01
3.184241601504656015e-05,7.701042642177668984e-01,7.985481358328145873e-01
3.258562476153222947e-05,7.686145494311513726e-01,7.970079812873098746e-01
3.334618015786362555e-05,7.671162878225814552e-01,7.954588996286533487e-01
3.412448707852889151e-05,7.656094612023391921e-01,7.939008724585516763e-01
3.492095984787271714e-05,7.640940517664850384e-01,7.923338817778231569e-01
3.573602246065788401e-05,7.625700421029313336e-01,7.907579099926731470e-01
3.657010880777493455e-05,7.610374151975480839e-01,7.891729399210035689e-01
3.742366290721976937e-05,7.594961544402970555e-01,7.875789547987533945e-01
3.829713914046277195e-05,7.579462436313969542e-01,7.859759382862687715e-01
3.919100249433402197e-05,7.563876669875193581e-01,7.843638744747083447e-01
4.010572880855495893e-05,7.548204091480089639e-01,7.827427478924716686e-01
4.104180502904709518e-05,7.532444551811356970e-01,7.811125435116628157e-01
4.199972946715305953e-05,7.516597905903732446e-01,7.794732467545799626e-01
4.298001206490798361e-05,7.500664013207056779e-01,7.778248435002349526e-01
4.398317466650228581e-05,7.484642737649571664e-01,7.761673200908982828e-01
4.500975129608051229e-05,7.468533947701527786e-01,7.745006633386737338e-01
4.606028844202398492e-05,7.452337516438998222e-01,7.728248605320979792e-01
4.713534534786907132e-05,7.436053321607959399e-01,7.711398994427656195e-01
4.823549431001467481e-05,7.419681245688617421e-01,7.694457683319807506e-01
4.936132098237916882e-05,7.403221175959964206e-01,7.677424559574328455e-01
5.051342468816766475e-05,7.386673004564529021e-01,7.660299515798930647e-01
5.169241873891592971e-05,7.370036628573415349e-01,7.643082449699400982e-01
5.289893076098145871e-05,7.353311950051472090e-01,7.625773264147004404e-01
5.413360302965375723e-05,7.336498876122745649e-01,7.608371867246179754e-01
5.539709281106400149e-05,7.319597319036071914e-01,7.590878172402386603e-01
5.669007271207433866e-05,7.302607196230884723e-01,7.573292098390173033e-01
5.801323103833378413e-05,7.285528430403205302e-01,7.555613569421438802e-01
5.936727216069126418e-05,7.268360949571810448e-01,7.537842515213879491e-01
6.075291689016077101e-05,7.251104687144556138e-01,7.519978871059609382e-01
6.217090286163833989e-05,7.233759581984864351e-01,7.502022577893936450e-01
6.362198492657495643e-05,7.216325578478363090e-01,7.483973582364316091e-01
6.510693555481455010e-05,7.198802626599675181e-01,7.465831836899450291e-01
6.662654524581149520e-05,7.181190681979319201e-01,7.447597299778507818e-01
6.818162294944478516e-05,7.163489705970756960e-01,7.429269935200509822e-01
6.977299649665538337e-05,7.145699665717546445e-01,7.410849713353809820e-01
7.140151304013403336e-05,7.127820534220600246e-01,7.392336610485699122e-01
7.306803950529492200e-05,7.109852290405533903e-01,7.373730608972106637e-01
7.477346305177580746e-05,7.091794919190127500e-01,7.355031697387404144e-01
7.651869154570817787e-05,7.073648411551832771e-01,7.336239870574291499e-01
7.830465404301183510e-05,7.055412764595364594e-01,7.317355129713734030e-01
8.013230128396886748e-05,7.037087981620340216e-01,7.298377482394993176e-01
8.200260619934131279e-05,7.018674072188998414e-01,7.279306942685697113e-01
8.391656442830161045e-05,7.000171052193884247e-01,7.260143531201928013e-01
8.587519484845179956e-05,6.981578943925660363e-01,7.240887275178397031e-01
8.787954011821328749e-05,6.962897776140813955e-01,7.221538208538549330e-01
8.993066723187614258e-05,6.944127584129500264e-01,7.202096371964787913e-01
9.202966808760410129e-05,6.925268409783238432e-01,7.182561812968568660e-01
9.417766006869519380e-05,6.906320301662720595e-01,7.162934585960596401e-01
9.637578663841088868e-05,6.887283315065498845e-01,7.143214752320909966e-01
9.862521794868783656e-05,6.868157512093663319e-01,7.123402380468956130e-01
1.009271514630570804e-04,6.848942961721486977e-01,7.103497545933625812e-01
1.032828125941028506e-04,6.829639739862946035e-01,7.083500331423179253e-01
1.056934553557988362e-04,6.810247929439237069e-01,7.063410826895157868e-01
1.081603630310709380e-04,6.790767620446128694e-01,7.043229129626128460e-01
1.106848488549411983e-04,6.771198910021271056e-01,7.022955344281388568e-01
1.132682567136153722e-04,6.751541902511354332e-01,7.002589582984523053e-01
1.159119618598885670e-04,6.731796709539137336e-01,6.982131965386820793e-01
1.186173716452477994e-04,6.711963450070363990e-01,6.961582618736574801e-01
1.213859262690627708e-04,6.692042250480465526e-01,6.940941677948180288e-01
1.242190995452617476e-04,6.672033244621161652e-01,6.920209285671108379e-01
1.271183996869028896e-04,6.651936573886817472e-01,6.899385592358647790e-01
1.300853701090570616e-04,6.631752387280649419e-01,6.878470756336479974e-01
1.331215902504307683e-04,6.611480841480675830e-01,6.857464943870996699e-01
1.362286764141646810e-04,6.591122100905473236e-01,6.836368329237422214e-01
1.394082826282577292e-04,6.570676337779679521e-01,6.815181094787667870e-01
1.426621015260736780e-04,6.550143732199218416e-01,6.793903431017912498e-01
1.459918652473978645e-04,6.529524472196305274e-01,6.772535536635941877e-01
1.493993463605257745e-04,6.508818753804103130e-01,6.751077618628142929e-01
1.528863588058729521e-04,6.488026781121118969e-01,6.729529892326223672e-01
1.564547588616095814e-04,6.467148766375269142e-01,6.707892581473590132e-01
1.601064461318317826e-04,6.446184929987591739e-01,6.686165918291377963e-01
1.638433645577984691e-04,6.425135500635646979e-01,6.664350143544132132e-01
1.676675034527699306e-04,6.404000715316521264e-01,6.642445506605104688e-01
1.715808985610004888e-04,6.382780819409433759e-01,6.620452265521132862e-01
1.755856331414468706e-04,6.361476066737999924e-01,6.598370687077164121e-01
1.796838390767719381e-04,6.340086719632013201e-01,6.576201046860281618e-01
1.838776980082326902e-04,6.318613048988832581e-01,6.553943629323331077e-01
1.881694424970555652e-04,6.297055334334303867e-01,6.531598727848058061e-01
1.925613572129198628e-04,6.275413863883213539e-01,6.509166644807770075e-01
1.970557801501798259e-04,6.253688934599259674e-01,6.486647691629492396e-01
2.016551038724746336e-04,6.231880852254501058e-01,6.464042188855598781e-01
2.063617767863858772e-04,6.209989931488322235e-01,6.441350466204924796e-01
2.111783044448244291e-04,6.188016495865810151e-01,6.418572862633283860e-01
2.161072508808376392e-04,6.165960877935592332e-01,6.395709726393437045e-01
2.211512399725488825e-04,6.143823419287118837e-01,6.372761415094458926e-01
2.263129568399529709e-04,6.121604470607296955e-01,6.349728295760467267e-01
2.315951492743152066e-04,6.099304391736549702e-01,6.326610744888740978e-01
2.370006292009327982e-04,6.076923551724225936e-01,6.303409148507163051e-01
2.425322741760353111e-04,6.054462328883353228e-01,6.280123902231005140e-01
2.481930289186255376e-04,6.031921110844704614e-01,6.256755411318973836e-01
2.539859068780723952e-04,6.009300294610214754e-01,6.233304090728610802e-01
2.599139918382933163e-04,5.986600286605600063e-01,6.209770365170858009e-01
2.659804395593758477e-04,5.963821502732346014e-01,6.186154669163964614e-01
2.721884794575179351e-04,5.940964368418829578e-01,6.162457447086510109e-01
2.785414163241766187e-04,5.918029318670771088e-01,6.138679153229728014e-01
2.850426320853434838e-04,5.895016798120805701e-01,6.114820251848915866e-01
2.916955876018796070e-04,5.871927261077272142e-01,6.090881217214044741e-01
2.985038245118729321e-04,5.848761171572173234e-01,6.066862533659501677e-01
3.054709671159967842e-04,5.825519003408247132e-01,6.042764695632922844e-01
3.126007243068703494e-04,5.802201240205180355e-01,6.018588207743125196e-01
3.198968915434537695e-04,5.778808375444896006e-01,5.994333584807095550e-01
3.273633528715244297e-04,5.755340912515939378e-01,5.970001351896041530e-01
3.350040829913132775e-04,5.731799364756893223e-01,5.945592044380424435e-01
3.428231493733970817e-04,5.708184255498832682e-01,5.921106207974022873e-01
3.508247144239792456e-04,5.684496118106800999e-01,5.896544398776959461e-01
3.590130377007068547e-04,5.660735496020237179e-01,5.871907183317662815e-01
3.673924781802074212e-04,5.636902942792405558e-01,5.847195138593775932e-01
3.759674965785467834e-04,5.612999022128731808e-01,5.822408852111954358e-01
3.847426577258501669e-04,5.589024307924072010e-01,5.797548921926538590e-01
3.937226329963479333e-04,5.564979384298870402e-01,5.772615956677090709e-01
4.029122027951348049e-04,5.540864845634195790e-01,5.747610575624767515e-01
4.123162591029752144e-04,5.516681296605612239e-01,5.722533408687477952e-01
4.219398080805023877e-04,5.492429352215870697e-01,5.697385096473830401e-01
4.317879727332021378e-04,5.468109637826416014e-01,5.672166290315849846e-01
4.418659956385941382e-04,5.443722789187652733e-01,5.646877652300406059e-01
4.521792417370702299e-04,5.419269452467976311e-01,5.621519855299365043e-01
4.627332011878688848e-04,5.394750284281522035e-01,5.596093582998415972e-01
4.735334922917116217e-04,5.370165951714611641e-01,5.570599529924540327e-01
4.845858644816495643e-04,5.345517132350898759e-01,5.545038401472147660e-01
4.958962013837211243e-04,5.320804514295141008e-01,5.519410913927778051e-01
5.074705239490465754e-04,5.296028796195629829e-01,5.493717794493409023e-01
5.193149936590212706e-04,5.271190687265207009e-01,5.467959781308314726e-01
5.314359158053241772e-04,5.246290907300856787e-01,5.442137623469437413e-01
5.438397428464795957e-04,5.221330186701875764e-01,5.416252081050291212e-01
5.565330778427645753e-04,5.196309266486551781e-01,5.390303925118310469e-01
5.695226779712824535e-04,5.171228898307345112e-01,5.364293937750665986e-01
5.828154581230845892e-04,5.146089844464581953e-01,5.338222912048518065e-01
5.964184945842459888e-04,5.120892877918556962e-01,5.312091652149638632e-01
6.103390288028621123e-04,5.095638782300104808e-01,5.285900973239433531e-01
6.245844712439617896e-04,5.070328351919536347e-01,5.259651701560285053e-01
6.391624053343999187e-04,5.044962391774000521e-01,5.233344674419245779e-01
6.540805914998252743e-04,5.019541717553148708e-01,5.206980740193983825e-01
6.693469712958660276e-04,4.994067155643169831e-01,5.180560758337044991e-01
6.849696716357446405e-04,4.968539543129101843e-01,5.154085599378307458e-01
7.009570091165617713e-04,4.942959727795416258e-01,5.127556144925675685e-01
7.173174944465612532e-04,4.917328568124867405e-01,5.100973287663951306e-01
7.340598369757211656e-04,4.891646933295566990e-01,5.074337931351877717e-01
7.511929493320969016e-04,4.865915703176243445e-01,5.047650990817299510e-01
7.687259521663728163e-04,4.840135768319678844e-01,5.020913391950432292e-01
7.866681790071581876e-04,4.814308029954298407e-01,4.994126071695219604e-01
8.050291812295981347e-04,4.788433399973880400e-01,4.967289978038739173e-01
8.238187331399601234e-04,4.762512800925362555e-01,4.940406069998641292e-01
8.430468371788967007e-04,4.736547165994701714e-01,4.913475317608559378e-01
8.627237292461450513e-04,4.710537438990802239e-01,4.886498701901529906e-01
8.828598841495150472e-04,4.684484574327452133e-01,4.859477214891340102e-01
9.034660211810524762e-04,4.658389537003244651e-01,4.832411859551787869e-01
9.245531098233570558e-04,4.632253302579481535e-01,4.805303649793852272e-01
9.461323755890769030e-04,4.606076857155994020e-01,4.778153610440701859e-01
9.682153059967085751e-04,4.579861197344923252e-01,4.750962777200589682e-01
9.908136566858666023e-04,4.553607330242336326e-01,4.723732196637505654e-01
1.013939457675291705e-03,4.527316273397740676e-01,4.696462926139645111e-01
1.037605019766911670e-03,4.500989054781445176e-01,4.669156033885651924e-01
1.061822941099383561e-03,4.474626712749711355e-01,4.641812598808560675e-01
1.086606113854596918e-03,4.448230296007708584e-01,4.614433710557475088e-01
1.111967731120698868e-03,4.421800863570219953e-01,4.587020469456904448e-01
1.137921293915315117e-03,4.395339484720124368e-01,4.559573986463790196e-01
1.164480618372685594e-03,4.368847238964541080e-01,4.532095383122125565e-01
1.191659843098558710e-03,4.342325215988701026e-01,4.504585791515205995e-01
1.219473436696738231e-03,4.315774515607478934e-01,4.477046354215447055e-01
1.247936205471311460e-03,4.289196247714542887e-01,4.449478224231755430e-01
1.277063301308643340e-03,4.262591532229175750e-01,4.421882564954456862e-01
1.306870229743346433e-03,4.235961499040614142e-01,4.394260550097675577e-01
1.337372858212496378e-03,4.209307287950019849e-01,4.366613363639241241e-01
1.368587424502517658e-03,4.182630048609970452e-01,4.338942199758031859e-01
1.400530545393219610e-03,4.155930940461476375e-01,4.311248262768747619e-01
1.433219225503573830e-03,4.129211132668494932e-01,4.283532767054093471e-01
1.466670866343968566e-03,4.102471804049929727e-01,4.255796936994348245e-01
1.500903275579735076e-03,4.075714143009078749e-01,4.228042006894291438e-01
1.535934676510897082e-03,4.048939347460500104e-01,4.200269220907456025e-01
1.571783717773162729e-03,4.022148624754316448e-01,4.172479832957712853e-01
1.608469483265355209e-03,3.995343191597889310e-01,4.144675106658142760e-01
1.646011502308549748e-03,3.968524273974845529e-01,4.116856315227149787e-01
1.684429760042315200e-03,3.941693107061491896e-01,4.089024741401872665e-01
1.723744708063619816e-03,3.914850935140498644e-01,4.061181677348761343e-01
1.763977275314043388e-03,3.887999011511933944e-01,4.033328424571410720e-01
1.805148879221108154e-03,3.861138598401543387e-01,4.005466293815526102e-01
1.847281437099634145e-03,3.834270966866327734e-01,3.977596604971099237e-01
1.890397377819221479e-03,3.807397396697327907e-01,3.949720686971681660e-01
1.934519653744044354e-03,3.780519176319674379e-01,3.921839877690816989e-01
1.979671752951332481e-03,3.753637602689797181e-01,3.893955523835540000e-01
2.025877711735016989e-03,3.726753981189859233e-01,3.866068980836983027e-01
2.073162127401228811e-03,3.699869625519348615e-01,3.838181612738039150e-01
2.121550171362450096e-03,3.672985857583803693e-01,3.810294792078061099e-01
2.171067602537264923e-03,3.646104007380706058e-01,3.782409899774608064e-01
2.221740781062884768e-03,3.619225412882459691e-01,3.754528325002178812e-01
2.273596682327715286e-03,3.592351419916497979e-01,3.726651465067966629e-01
2.326662911331457955e-03,3.565483382042441973e-01,3.698780725284547821e-01
2.380967717380358135e-03,3.538622660426383182e-01,3.670917518839597049e-01
2.436540009125466068e-03,3.511770623712164863e-01,3.643063266662484034e-01
2.493409369951877976e-03,3.484928647889748987e-01,3.615219397287848802e-01
2.551606073727183746e-03,3.458098116160573943e-01,3.587387346716050529e-01
2.611161100917459583e-03,3.431280418799970700e-01,3.559568558270577165e-01
2.672106155079432416e-03,3.404476953016549734e-01,3.531764482452297571e-01
